|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
59|Apartamento para venda tem 109 metros quadrados com 2 quartos em Areia Preta - Natal - RN|R$ 460.000|2 quartos|109m²|R$ 900|1 vaga|Natal, Areia Preta | |1
60|Apartamento para venda possui 75 metros quadrados com 3 quartos em Capim Macio - Natal - R|R$ 200.000|3 quartos|75m²|R$ 350|1 vaga|Natal, Capim Macio | |1
61|Apartamento para venda possui 224 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.950.000|4 quartos|224m²|R$ 0|4 vagas|Natal, Tirol | |4
62|Apartamento para venda tem 56 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 530.000|1 quarto|56m²|R$ 540.000|1 vaga|Natal, Ponta Negra | |1
63|Apartamento para venda com 92 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 370.000|3 quartos|92m²|R$ 0|2 vagas|Natal, Capim Macio | |2
64|Apartamento para venda com 98 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 550.000|3 quartos|98m²|R$ 0|2 vagas|Natal, Petrópolis | |2
65|Apartamento para venda com 136 metros quadrados com 3 quartos em Tirol - Natal -|R$ 799.000|3 quartos|136m²|R$ 1.000|2 vagas|Natal, Tirol | |2
66|Apartamento para venda tem 50 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 110.000|2 quartos|50m²|R$ 0| |Natal, Pitimbu | |59067400
67| | | | | | | | | 
68|Apartamento para venda com 54 metros quadrados com uma suite com closet em Tirol - Natal -|R$ 340.000|1 quarto|54m²|R$ 0|1 vaga|Natal, Tirol | |1
69|Apartamento para venda com 105 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 520.000|3 quartos|105m²|R$ 0|2 vagas|Natal, Tirol | |2
