|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
681|Apartamento para venda com 103 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 560.000|3 quartos|103m²|R$ 770|2 vagas|Natal, Lagoa Nova | |2
682|Apartamento para venda possui 136 metros quadrados com 3 quartos em Alecrim - Natal - RN|R$ 1.000.000|3 quartos|136m²|R$ 0|3 vagas|Natal, Alecrim | |3
683| | | | | | | | | 
684|Apartamento para venda com 61 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 387.000|2 quartos|61m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
685|Apartamento para venda possui 89 metros quadrados com 3 quartos em Pitimbu - Natal - RN|R$ 335.000|3 quartos|89m²|R$ 0|1 vaga|Natal, Pitimbu | |1
686|Apartamento para venda com 480 metros quadrados com 4 quartos em Petrópolis - Natal - RN|R$ 6.000.000|4 quartos|480m²|R$ 0|4 vagas|Natal, Petrópolis | |4
687|Apartamento para venda tem 64 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 380.000|2 quartos|64m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
688|Apartamento para venda com 55 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 550.000|2 quartos|55m²|R$ 799|1 vaga|Natal, Ponta Negra | |1
689| | | | | | | | | 
690|Apartamento para venda tem 57 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 550.000|2 quartos|57m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
691|Apartamento para venda possui 55 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 381.000|2 quartos|55m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
692|Apartamento para venda possui 54 metros quadrados com 2 quartos em Ponta Negra - Natal - R|R$ 304.900|2 quartos|54m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
693|Apartamento para venda tem 50 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 195.700|2 quartos|50m²|R$ 0| |Natal, Pitimbu | |Piscina, Academia, Churrasqueira
694| | | | | | | | | 
695|Apartamento para venda com 57 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 354.000|2 quartos|57m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
696|Apartamento para venda tem 98 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 850.000|2 quartos|98m²|R$ 0|2 vagas|Natal, Tirol | |2
697|Apartamento para venda tem 57 metros quadrados com 2 quartos em Candelária - Natal - RN|R$ 320.000|2 quartos|57m²|R$ 414|1 vaga|Natal, Candelária | |1
698|Apartamento para venda tem 49 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 220.000|2 quartos|49m²|R$ 0|1 vaga|Natal, Pitimbu | |1
699|Apartamento para venda com 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 500.000|2 quartos|56m²|R$ 620|1 vaga|Natal, Ponta Negra | |1
700| | | | | | | | | 
701|Apartamento para venda possui 55 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 353.331|2 quartos|55m²|R$ 0|1 vaga|Natal, Tirol | |1
702|Apartamento para venda tem 82 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 506.000|3 quartos|82m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
703|Apartamento Para Venda em Capim Macio - Natal-RN|R$ 230.000|3 quartos|84m²|R$ 530|1 vaga|Natal, Capim Macio | |1
704|Apartamento Para Venda em Neópolis  Condomínio Club- Natal -RN|R$ 320.000|2 quartos|64m²|R$ 464|1 vaga|Natal, Neópolis | |1
705|Apartamento Para Venda em Capim Macio - Natal-RN|R$ 120.000|2 quartos|59m²|R$ 300|1 vaga|Natal, Capim Macio | |1
706|Apartamento para Venda em Natal, Capim Macio, 4 dormitórios, 2 suítes, 4 banheiros, 2 vaga|R$ 700.000|4 quartos|123m²|R$ 670|2 vagas|Natal, Capim Macio | |2
707| | | | | | | | | 
708|Apartamento para Venda em Natal, Lagoa Nova, 4 dormitórios, 3 suítes, 5 banheiros, 3 vagas|R$ 1.090.000|4 quartos|160m²|R$ 600|3 vagas|Natal, Lagoa Nova | |3
709|Apartamento para Venda em Natal, alecrim, 1 dormitório, 1 suíte, 2 banheiros, 3 vagas|R$ 340.000|1 quarto|61m²|R$ 0|3 vagas|Natal, Tirol | |3
710|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 550.000|3 quartos|98m²|R$ 1.080|2 vagas|Natal, Tirol | |2
711|Apartamento para Vender no Apartamento para Vender no Condomínio TIROL WAY RESIDENCE |R$ 640.000|3 quartos|98m²|R$ 790|2 vagas|Natal, Tirol | |2
712|Apartamento para venda em Candelária - Natal - 3/4 sendo 3 suites e closet totalmente refo|R$ 980.000|3 quartos|176m²|R$ 1.300|3 vagas|Natal, Candelária | |3
713|Apartamento para Venda em Natal, Cidade da Esperança, 2 dormitórios, 1 banheiro, 1 vaga|R$ 110.000|2 quartos|55m²|R$ 0|1 vaga|Natal, Cidade da Esperança | |1
714|Apartamento para venda em Neópolis - Natal - RN - Lacqua 3/4 com 117m|R$ 530.000|3 quartos|117m²|R$ 700|3 vagas|Natal, Neópolis | |3
715|Apartamento para Venda em Natal, Pajuçara, 2 dormitórios, 1 banheiro, 1 vaga|R$ 115.000|2 quartos|58m²|R$ 0|1 vaga|Natal, Pajuçara | |1
716|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 435.000|3 quartos|92m²|R$ 716|2 vagas|Natal, Lagoa Nova | |2
717|Apartamento para vender no tirol|R$ 500.000|3 quartos|150m²|R$ 0|2 vagas|Natal, Tirol | |2
718| | | | | | | | | 
719|Apartamento para venda em Candelária - Natal - RN - 2/4|R$ 155.000|2 quartos|60m²|R$ 182| |Natal, Candelária | |59066900
720|Apartamento para Venda em Natal, Capim Macio, 4 dormitórios, 3 suítes, 4 banheiros, 2 vaga|R$ 650.000|4 quartos|224m²|R$ 1.700|2 vagas|Natal, Capim Macio | |2
721|Apartamento para Venda em Natal, Lagoa Nova, 4 dormitórios, 4 suítes, 5 banheiros, 4 vagas|R$ 1.022.463|4 quartos|144m²|R$ 0|4 vagas|Natal, Lagoa Nova | |4
722|Apartamento para Venda em Natal, Capim Macio, 3 dormitórios, 2 suítes, 3 banheiros, 2 vaga|R$ 650.000|3 quartos|85m²|R$ 600|2 vagas|Natal, Capim Macio | |2
723| | | | | | | | | 
724|Apartamento para Venda em Natal, Areia Preta, 3 dormitórios, 3 suítes, 5 banheiros, 4 vaga|R$ 2.800.000|3 quartos|282m²|R$ 2.470|4 vagas|Natal, Areia Preta | |4
725|Apartamento para venda em Tirol - Natal - RN - Perto do hospital são lucas|R$ 1.050.000|3 quartos|187m²|R$ 0|3 vagas|Natal, Tirol | |3
726|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 400.000|2 quartos|57m²|R$ 397|1 vaga|Natal, Tirol | |1
727|Apartamento para Venda em Natal, TIROL, 1 dormitório, 1 suíte, 1 vaga|R$ 270.000|1 quarto|57m²|R$ 600|1 vaga|Natal, Barro Vermelho | |1
728|Apartamento para Venda em Natal, Pitimbu, 2 dormitórios, 1 banheiro, 1 vaga|R$ 175.000|2 quartos|44m²|R$ 0|1 vaga|Natal, Pitimbu | |1
729|Apartamento para Venda em Natal, Ponta Negra, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 380.000|3 quartos|90m²|R$ 0|2 vagas|Natal, Ponta Negra | |2
730|Apartamento para Venda em Natal, Lagoa Nova, 4 dormitórios, 4 suítes, 5 banheiros, 2 vagas|R$ 1.100.000|4 quartos|270m²|R$ 1.984|2 vagas|Natal, Lagoa Nova | |2
731|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 2 suítes, 4 banheiros, 2 vagas|R$ 841.490|3 quartos|100m²|R$ 0|2 vagas|Natal, Tirol | |2
732|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas|R$ 480.000|3 quartos|90m²|R$ 560|2 vagas|Natal, Tirol | |2
733|Apartamento para Venda em Natal, BARRO VERMELHO, 2 dormitórios, 1 suíte, 2 banheiros, 1 v|R$ 280.000|2 quartos|57m²|R$ 390|1 vaga|Natal, Barro Vermelho | |1
734|Apartamento para Venda em Natal, Petrópolis, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas|R$ 680.000|3 quartos|181m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
735| | | | | | | | | 
736|Apartamento para Venda em Natal, Lagoa Nova, 2 dormitórios, 1 banheiro, 1 vaga|R$ 220.000|2 quartos|70m²|R$ 250|1 vaga|Natal, Lagoa Nova | |1
737|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 325.990|2 quartos|48m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
738|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 3 suítes, 5 banheiros, 2 vagas|R$ 1.000.000|3 quartos|120m²|R$ 640|2 vagas|Natal, Lagoa Nova | |2
739|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga|R$ 290.000|2 quartos|57m²|R$ 500|1 vaga|Natal, Tirol | |1
740|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 3 suítes, 5 banheiros, 2 vagas|R$ 590.000|3 quartos|190m²|R$ 1.400|2 vagas|Natal, Lagoa Nova | |2
741|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga|R$ 250.000|2 quartos|47m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
742|Apartamento para Venda em Natal, Capim Macio, 4 dormitórios, 2 suítes, 2 banheiros, 2 vaga|R$ 882.000|4 quartos|163m²|R$ 0|2 vagas|Natal, Capim Macio | |2
743|Apartamento para Venda em Natal, Candelária, 1 dormitório, 1 banheiro, 1 vaga|R$ 250.000|1 quarto|50m²|R$ 340|1 vaga|Natal, Candelária | |1
744|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 2 suítes, 4 banheiros, 3 vagas|R$ 550.000|3 quartos|170m²|R$ 1.500|3 vagas|Natal, Alecrim | |3
745| | | | | | | | | 
746|Apartamento para Venda em Natal, Barro Vermelho, 3 dormitórios, 1 suíte, 2 banheiros, 1 va|R$ 300.000|3 quartos|104m²|R$ 580|1 vaga|Natal, Tirol | |1
747|Apartamento para Venda em Natal, Candelária, 3 dormitórios, 1 suíte, 3 banheiros, 3 vagas|R$ 549.490|3 quartos|98m²|R$ 775|3 vagas|Natal, Candelária | |3
748|Apartamento para Venda em Natal, Neópolis, 3 dormitórios, 3 suítes, 1 banheiro, 2 vagas|R$ 380.500|3 quartos|90m²|R$ 0|2 vagas|Natal, Neópolis | |2
749|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 3 suítes, 5 banheiros, 2 vagas|R$ 750.000|3 quartos|168m²|R$ 1.800|2 vagas|Natal, Tirol | |2
750| | | | | | | | | 
751|Apartamento para Venda em Natal, Capim Macio, 4 dormitórios, 3 suítes, 5 banheiros, 2 vaga|R$ 590.000|4 quartos|148m²|R$ 1.246|2 vagas|Natal, Lagoa Nova | |2
752|Apartamento para Venda em Natal, Barro Vermelho, 3 dormitórios, 1 suíte, 3 banheiros, 2 va|R$ 380.000|3 quartos|98m²|R$ 600|2 vagas|Natal, Barro Vermelho | |2
753|Apartamento para Venda em Natal, Alecrim, 1 dormitório, 1 banheiro, 1 vaga|R$ 250.000|1 quarto|45m²|R$ 300|1 vaga|Natal, Lagoa Seca | |1
754|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 390.000|2 quartos|80m²|R$ 0|1 vaga|Natal, Tirol | |1
755|Apartamento para Venda em Natal, Capim Macio, 5 dormitórios, 2 suítes, 4 banheiros, 2 vag|R$ 882.000|5 ou mais quartos|42m²|R$ 0|2 vagas|Natal, Capim Macio | |2
756|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 1 banheiro, 2 vagas|R$ 240.000|3 quartos|69m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
757|Apartamento para Venda em Natal, Candelaria, 4 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 400.000|4 quartos|98m²|R$ 882|2 vagas|Natal, Candelária | |2
758|Apartamento para Venda em Natal, AREIA PRETA, 4 dormitórios, 4 suítes, 5 banheiros, 3 vag|R$ 1.900.000|4 quartos|225m²|R$ 0|3 vagas|Natal, Areia Preta | |3
759|Apartamento para Venda em Natal, Ponta Negra, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga|R$ 284.990|1 quarto|42m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
760| | | | | | | | | 
761|Apartamento para Venda em Natal, Petropolis, 4 dormitórios, 4 suítes, 6 banheiros, 3 vagas|R$ 750.000|4 quartos|274m²|R$ 1.375|3 vagas|Natal, Petrópolis | |3
762|Apartamento para Venda em Natal, Tirol, 5 dormitórios, 4 suítes, 1 banheiro, 3 vagas|R$ 900.000|5 ou mais quartos|300m²|R$ 0|3 vagas|Natal, Tirol | |3
763|Apartamento para Venda em Natal, Petrópolis, 4 dormitórios, 4 suítes, 5 banheiros, 5 vaga|R$ 5.767.000|4 quartos|480m²|R$ 0|5 ou mais vagas|Natal, Petrópolis | |5 ou mais
764|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 340.990|2 quartos|51m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
765|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 445.490|2 quartos|51m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
766| | | | | | | | | 
767|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 3 suítes, 5 banheiros, 3 vagas|R$ 800.000|3 quartos|200m²|R$ 1.500|3 vagas|Natal, Tirol | |3
768|Apartamento para Venda em Natal, Candelária, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 480.000|3 quartos|87m²|R$ 0|2 vagas|Natal, Candelária | |2
769|Apartamento para Venda em Natal, Barro Vermelho, 3 dormitórios, 2 suítes, 4 banheiros, 2 v|R$ 550.000|3 quartos|108m²|R$ 650|2 vagas|Natal, Barro Vermelho | |2
770|Apartamento para Venda em Natal, Neopolis, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 300.000|2 quartos|57m²|R$ 365|1 vaga|Natal, Neópolis | |1
771|Apartamento para Venda em Natal, LAGOA NOVA, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 370.000|3 quartos|70m²|R$ 335|2 vagas|Natal, Nossa Senhora de Nazaré | |2
772|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 315.000|2 quartos|55m²|R$ 0|2 vagas|Natal, Tirol | |2
773| | | | | | | | | 
774|Apartamento para Venda em Natal, Petropolis, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 450.000|3 quartos|150m²|R$ 670|2 vagas|Natal, Petrópolis | |2
775|Apartamento para Venda em Natal, Tirol, 4 dormitórios, 4 suítes, 5 banheiros, 3 vagas|R$ 1.261.490|4 quartos|150m²|R$ 0|3 vagas|Natal, Tirol | |3
776|Apartamento Verano Ponta Negra RN para vender com 56 metros quadrados com 2/4 quarto sem 0|R$ 269.000|2 quartos|50m²|R$ 480|1 vaga|Natal, Ponta Negra | |1
777|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 3 suítes, 5 banheiros, 2 vagas|R$ 1.260.000|3 quartos|150m²|R$ 1.007|2 vagas|Natal, Tirol | |2
778|Apartamento para Venda em Natal, Areia Preta, 4 dormitórios, 4 suítes, 5 banheiros, 5 vaga|R$ 2.150.000|4 quartos|279m²|R$ 2.216|5 ou mais vagas|Natal, Areia Preta | |5 ou mais
779|Apartamento para venda em Tirol - Natal - RN - Alto Padrão -|R$ 1.490.000|3 quartos|187m²|R$ 1.250|3 vagas|Natal, Tirol | |3
780|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 430.000|3 quartos|90m²|R$ 830|2 vagas|Natal, Tirol | |2
781|Apartamento para venda em Candelária - Natal - RN - 2/4 totalmente mobiliado|R$ 155.000|2 quartos|60m²|R$ 182|1 vaga|Natal, Candelária | |1
782|Apartamento para Venda em Natal, Tirol, 4 dormitórios, 3 suítes, 5 banheiros, 2 vagas|R$ 660.000|4 quartos|221m²|R$ 1.300|2 vagas|Natal, Tirol | |2
783|Apartamento para Venda em Natal, NEÓPOLIS, 2 dormitórios, 1 banheiro, 1 vaga|R$ 140.000|2 quartos|57m²|R$ 195|1 vaga|Natal, Ponta Negra | |1
784|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 banheiro, 1 vaga|R$ 110.000|2 quartos|48m²|R$ 260|1 vaga|Natal, Ponta Negra | |1
785|Apartamento de Praia para Venda em Natal, PONTA NEGRA, 1 dormitório, 1 banheiro, 1 vaga|R$ 399.000|1 quarto|38m²|R$ 366|1 vaga|Natal, Ponta Negra | |1
786| | | | | | | | | 
787|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 banheiro, 1 vaga|R$ 270.000|2 quartos|48m²|R$ 270|1 vaga|Natal, Ponta Negra | |1
788|Apartamento para Venda em Natal, Barro Vermelho, 1 dormitório, 1 suíte, 2 banheiros, 1 vag|R$ 260.000|1 quarto|57m²|R$ 560|1 vaga|Natal, Barro Vermelho | |1
789|Apartamento para Venda em Natal, Barro Vermelho, 3 dormitórios, 3 suítes, 4 banheiros, 2 v|R$ 550.000|3 quartos|119m²|R$ 0|2 vagas|Natal, Barro Vermelho | |2
790|Apartamento para Venda em Natal, TIROL, 4 dormitórios, 4 suítes, 6 banheiros, 3 vagas|R$ 1.200.000|4 quartos|157m²|R$ 650|3 vagas|Natal, Tirol | |3
791|Apartamento para Venda em Natal, Nossa Senhora de Nazaré, 2 dormitórios, 1 suíte, 2 banhei|R$ 250.000|2 quartos|55m²|R$ 300|1 vaga|Natal, Dix-Sept Rosado | |1
792|Apartamento para venda Natal Plaza, 61m², com 2 quartos em Ponta Negra - Natal - RN|R$ 340.000|2 quartos|61m²|R$ 1.322|1 vaga|Natal, Ponta Negra | |1
793|Apartamento para Venda em Natal, Nossa Senhora de Nazaré, 3 dormitórios, 1 suíte, 2 banhe|R$ 320.000|3 quartos|70m²|R$ 0|2 vagas|Natal, Nossa Senhora de Nazaré | |2
794| | | | | | | | | 
795|Apartamento para Venda em Natal / RN no bairro Capim Macio|R$ 692.990|4 quartos|108m²|R$ 560|2 vagas|Natal, Capim Macio | |2
796|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 270.000|3 quartos|119m²|R$ 600|2 vagas|Natal, Lagoa Nova | |2
797|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 481.190|2 quartos|48m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
798|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 2 suítes, 4 banheiros, 2 vagas|R$ 720.000|3 quartos|119m²|R$ 658|2 vagas|Natal, Lagoa Nova | |2
799|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 3 suítes, 5 banheiros, 3 vagas|R$ 880.000|3 quartos|136m²|R$ 0|3 vagas|Natal, Lagoa Nova | |3
800|Apartamento para Venda em Natal, Capim Macio, 3 dormitórios, 2 banheiros, 1 vaga|R$ 175.000|3 quartos|80m²|R$ 0|1 vaga|Natal, Capim Macio | |1
801|Apartamento para Venda em Natal / RN no bairro Capim Macio|R$ 692.490|4 quartos|108m²|R$ 560|2 vagas|Natal, Capim Macio | |2
802|Apartamento para Venda em Natal, Neopolis, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 260.000|2 quartos|57m²|R$ 0|1 vaga|Natal, Neópolis | |1
803|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 2 banheiros, 1 vaga|R$ 199.000|3 quartos|96m²|R$ 350|1 vaga|Natal, Lagoa Nova | |1
804|Apartamento para Venda em Natal, Barro Vermelho, 4 dormitórios, 3 suítes, 5 banheiros, 2 v|R$ 600.000|4 quartos|210m²|R$ 0|2 vagas|Natal, Barro Vermelho | |2
805|Apartamento para Venda em Natal, Nova Descoberta, 2 dormitórios, 1 suíte, 2 banheiros, 1 v|R$ 220.000|2 quartos|59m²|R$ 430|1 vaga|Natal, Nova Descoberta | |1
806| | | | | | | | | 
807|Apartamento para Venda em Natal, Dix-Sept Rosado, 2 dormitórios, 1 banheiro, 1 vaga|R$ 110.000|2 quartos|57m²|R$ 190|1 vaga|Natal, Dix-Sept Rosado | |1
808|Apartamento para Venda em Natal, Ponta Negra, 4 dormitórios, 3 suítes, 4 banheiros, 2 vaga|R$ 520.000|4 quartos|102m²|R$ 680|2 vagas|Natal, Ponta Negra | |2
809|Apartamento para Venda em Natal, Lagoa Seca, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 480.000|3 quartos|109m²|R$ 950|2 vagas|Natal, Lagoa Seca | |2
810|Apartamento para Venda em Natal, Neopolis, 2 dormitórios, 1 banheiro, 1 vaga|R$ 125.000|2 quartos|60m²|R$ 230|1 vaga|Natal, Neópolis | |1
811|Apartamento para Venda em Natal, Pitimbu, 2 dormitórios, 1 banheiro, 1 vaga|R$ 110.000|2 quartos|50m²|R$ 250|1 vaga|Natal, Pitimbu | |1
812|Apartamento para Venda em Natal, Lagoa Nova, 2 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 550.000|2 quartos|87m²|R$ 722|2 vagas|Natal, Lagoa Nova | |2
813|Apartamento para Venda em Natal, Petropolis, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 380.000|3 quartos|172m²|R$ 1.122|2 vagas|Natal, Petrópolis | |2
814|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 250.000|2 quartos|60m²|R$ 670|1 vaga|Natal, Ponta Negra | |1
815|Apartamento para Venda em Natal, Pitimbu, 2 dormitórios, 1 suíte, 1 banheiro, 2 vagas|R$ 255.000|2 quartos|57m²|R$ 350|2 vagas|Natal, Pitimbu | |2
816|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 2 suítes, 4 banheiros, 2 vagas|R$ 650.000|2 quartos|134m²|R$ 1.400|2 vagas|Natal, Tirol | |2
817|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas|R$ 500.000|3 quartos|140m²|R$ 0|2 vagas|Natal, Tirol | |2
818|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 2 suítes, 4 banheiros, 2 vagas|R$ 665.000|3 quartos|113m²|R$ 770|2 vagas|Natal, Lagoa Nova | |2
819| | | | | | | | | 
820|Apartamento para Venda em Natal, Areia Preta, 4 dormitórios, 4 suítes, 6 banheiros, 5 vaga|R$ 3.200.000|4 quartos|450m²|R$ 3.800|5 ou mais vagas|Natal, Areia Preta | |5 ou mais
821|Apartamento para Venda em Natal, Barro Vermelho, 2 dormitórios, 1 suíte, 2 banheiros, 1 va|R$ 278.899|2 quartos|55m²|R$ 425|1 vaga|Natal, Tirol | |1
822|Apartamento para Venda em Natal, alecrim, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 200.000|3 quartos|100m²|R$ 440|2 vagas|Natal, Cidade Nova | |2
823|Apartamento para Venda em Natal, Lagoa Nova, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 290.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
824|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga|R$ 285.000|2 quartos|55m²|R$ 515|1 vaga|Natal, Tirol | |1
825|Apartamento para Venda em Natal, Planalto, 2 dormitórios, 1 banheiro, 1 vaga|R$ 120.000|2 quartos|52m²|R$ 215|1 vaga|Natal, Planalto | |1
826|Apartamento para Venda em Natal, Ponta Negra, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas|R$ 790.000|3 quartos|101m²|R$ 0|2 vagas|Natal, Ponta Negra | |2
827|Apartamento para Venda em Natal, Lagoa Nova, 2 dormitórios, 1 banheiro, 1 vaga|R$ 220.000|2 quartos|77m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
828|Apartamento para Venda em Natal, Ponta Negra, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga|R$ 200.000|1 quarto|42m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
829|Apartamento para Venda em Natal, Tirol, 4 dormitórios, 4 suítes, 6 banheiros, 1 vaga|R$ 1.600.000|4 quartos|286m²|R$ 0|1 vaga|Natal, Tirol | |1
830|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 300.000|2 quartos|52m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
831|Apartamento para Venda em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 240.000|2 quartos|55m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
832|Apartamento para Venda em Natal, Tirol, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga|R$ 340.000|2 quartos|52m²|R$ 0|1 vaga|Natal, Tirol | |1
833|Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 3 suítes, 1 banheiro, 2 vagas|R$ 876.000|3 quartos|142m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
834|Apartamento para Venda em Natal, Tirol, 3 dormitórios, 2 suítes, 2 banheiros, 2 vagas|R$ 743.000|3 quartos|88m²|R$ 880|2 vagas|Natal, Tirol | |2
835|Apartamento para Venda em Natal, Planalto, 2 dormitórios, 1 banheiro, 1 vaga|R$ 110.000|2 quartos|43m²|R$ 240|1 vaga|Natal, Planalto | |1
836|Apartamento para Venda em Natal, Pitimbu, 2 dormitórios, 1 banheiro, 1 vaga|R$ 90.000|2 quartos|58m²|R$ 260|1 vaga|Natal, Pitimbu | |1
837|Apartamento para Venda em Natal, LAGOA NOVA - ED. ARAGUAIA, 3 dormitórios, 1 suíte, 2 ban|R$ 280.000|3 quartos|106m²|R$ 300|1 vaga|Natal, Lagoa Nova | |1
838| | | | | | | | | 
839|Apartamento para Venda em Natal, TIROL - TERRAÇO DAS DUNAS, 3 dormitórios, 1 suíte, 3 ban|R$ 650.000|3 quartos|104m²|R$ 800|2 vagas|Natal, Tirol | |2
840| | | | | | | | | 
841|Apartamento para Venda em Natal, AREIA PRETA - RESIDENCIAL PAVAROTTI, 4 dormitórios, 4 su|R$ 1.950.000|4 quartos|240m²|R$ 2.000|4 vagas|Natal, Areia Preta | |4
842|Apartamento para Venda em Natal, LAGOA NOVA- VERNIER, 3 dormitórios, 1 suíte, 3 banheiros|R$ 550.000|3 quartos|168m²|R$ 1.400|3 vagas|Natal, Lagoa Nova | |3
843|Apartamento para Venda em Natal, TIROL - EDIFÍCIO KOPENHAGEM, 3 dormitórios, 1 suíte, 3 b|R$ 430.000|3 quartos|120m²|R$ 1.500|2 vagas|Natal, Barro Vermelho | |2
